Nama Perusahaan,Alamat,Modul Pembelajaran,,,,,,,,,
Asania Fatma,"Kedungpane RT 01 RW 05, Ngaliyan, Semarang",Jejaring Sosial Machine Learning Text Mining Grafika Komputer Web Service,,,,,,,,,
PT Zona Edukasi Nusantara,"Graha Aktiva, Ground Floor Jalan HR Rasuna Said Kav. 03 East Kuningan, Setiabudi South Jakarta, 12950 Indonesia",Membaca dan Mininjau Jurnal Ilmiah Dasar-Dasar Science Python Stastik Visualisasi Data dan Analisis Data Proyek Akhir Kemampuan Literasi Numerisasi dan Berpikir Saintifik,,,,,,,,,Membaca dan Mininjau Jurnal Ilmiah Dasar-Dasar Data Science Python Statistik Visualisasi Data dan Analisis Data
PT. Sintesis Komunikasi Indonesia,"Jl. Cisanggiri V, No 6, Petogogan, Kebayoran Baru, Jakarta Selatan 12170",Logika dan Konsep Teknologi AI Metode Penelitian AI Sikllus Projek AI Pemrograman Python Etika Profesi dan Keterampilan Perusahaan Proyek Akhir,,,,,,,,,
Yayasan Bakti Achmad Zaky,"Jalan Attahiriyah II Kompleks Warga Indah Nomor 9c, Pejaten Barat, Jakarta Selatan, 12510",AI Foundation Python Foundation Git Collaboration Machine Learning dan Deep Learning Computer Vision Data Science Natural Language Processing Final Project dan Demo Day,,,,,,,,,
PT CADFEM SIMULATION TECHNOLOGY INDONESIA,"Munich, Germany",Fluid Kinematics Simple Approximations of Fluid Flows What are Fluids? Gorvening Equations of Fluid Dynamics Dimensional Analysis and Similarity Studi Kasus Fluid Statics Viscous Laminar Flows Sertifikasi Internasional,,,,,,,,,
PT. Amati Karya Indonesia,"Jalan Raya Perserikatan No.1 Blok A Kav 261 Kelurahan Rawamangun, kecamatan Pulogadung Jakarta TImur DKI Jakarta",Sustainable Start Up Sustainable Tourism Growth Mindset Overview Digital Marketing  Product Management,,,,,,,,,
PT Dharma Polimetal Tbk,"Jl. Angsana Raya Blok A9 No.8, Delta Silicon 1, Cikarang, 17550",Drive The Result Planning dan Controlling Communication Skill Creative Thinking Problem Solving dan Analytical Thinking Teamwork mengoperaikan Ms Excel Sistem Informasi Akuntasi (SAP - Modul FICO) Memahami Activity Based Costing,,,,,,,,,
PT Global Tiket Network,"Wisma Barito Pacific II Lantai. 8, Jalan Letnan Jenderal Siswondo Parman Kavling. 60, Desa/Kelurahan Slipi, Kec. Pal Merah, Kota Adm. Jakarta Barat, Provinsi DKI Jakarta, Jakarta Raya Indonesia",,Mastery - Design Business Knowledge Producting Results Interpersonal Relationships Teamwork dan Collaboration,,,,,,,,
PT Widya Inovasi Indonesia,"Jl. Palagan Tentara Pelajar KM 7.5 No.31A, Mudal, Sariharjo, Ngaglik, Sleman Regency, Special Region of Yogyakarta 55581",Riset teknologi AI Debugging Dataset Dataset annotation Dataset collection Perancangan model AI,,,,,,,,,
PT Bukit Vista Nusantara,"Jalan Anggrek I5 No. 2, Sektor Bunga, Jl. Puri Gading, Jimbaran, South Kuta, Badung Regency, Bali 80361",Implementasi Database - NoSQL Pengelolaan Operasional Implementasi NodeJS REST API - Server Side Caching Program Manajemen Diskusi Kemampuan Kepemimpinan Implementasi NodeJS REST API - Controller Implementasi Third Party API Integration Implementasi Database - MySQL Implementasi NodeJS REST API - Routing,,,,,,,,,
PT Solusi Tiga Selaras,"Wisma Staco 7th Floor Jl Casablanca Raya Kav. 18 Menteng Dalam, Tebet, South Jakarta - 12870, Indonesia",Automated atau Manual Testing Implementing Test Process on Test Management Tool Black Box Test Techniques API Testing using Postman Perfomance Testing dan Bugs Reporting Testing Methodologies dan Principies Praktek atau Final Project ,,,,,,,,,
